date,time,BMU05_CMA_Current,BMU05_CMA_Max_Temp,BMU05_CMA_Min_Temp,BMU05_CMA_Status,BMU05_CMA_Temp1,BMU05_CMA_Temp2,BMU05_CMA_Temp3,BMU05_CMA_Temp4,BMU05_CMA_Temp5,BMU05_CMA_Temp6,BMU05_CMA_Temp7,BMU05_CMA_Voltage,BMU05_CellBalancingStatus,BMU05_Cell_10_Voltage,BMU05_Cell_11_Voltage,BMU05_Cell_12_Voltage,BMU05_Cell_13_Voltage,BMU05_Cell_14_Voltage,BMU05_Cell_1_Voltage,BMU05_Cell_2_Voltage,BMU05_Cell_3_Voltage,BMU05_Cell_4_Voltage,BMU05_Cell_5_Voltage,BMU05_Cell_6_Voltage,BMU05_Cell_7_Voltage,BMU05_Cell_8_Voltage,BMU05_Cell_9_Voltage,BMU05_Charge_Ah_from_BMU,BMU05_Discharge_Ah_from_BMU,BMU05_Max_Cell_Voltage,BMU05_Min_Cell_Voltage,BMU05_SOC,BMU05_SOH,BMU09_CMA_Current,BMU09_CMA_Max_Temp,BMU09_CMA_Min_Temp,BMU09_CMA_Status,BMU09_CMA_Temp1,BMU09_CMA_Temp2,BMU09_CMA_Temp3,BMU09_CMA_Temp4,BMU09_CMA_Temp5,BMU09_CMA_Temp6,BMU09_CMA_Temp7,BMU09_CMA_Voltage,BMU09_CellBalancingStatus,BMU09_Cell_10_Voltage,BMU09_Cell_11_Voltage,BMU09_Cell_12_Voltage,BMU09_Cell_13_Voltage,BMU09_Cell_14_Voltage,BMU09_Cell_1_Voltage,BMU09_Cell_2_Voltage,BMU09_Cell_3_Voltage,BMU09_Cell_4_Voltage,BMU09_Cell_5_Voltage,BMU09_Cell_6_Voltage,BMU09_Cell_7_Voltage,BMU09_Cell_8_Voltage,BMU09_Cell_9_Voltage,BMU09_Charge_Ah_from_BMU,BMU09_Discharge_Ah_from_BMU,BMU09_Max_Cell_Voltage,BMU09_Min_Cell_Voltage,BMU09_SOC,BMU09_SOH,istempHigh,isvolLimited,isCVViolated
10-02-2021,04:36:08,-92.2,22,22,67,22,22,22,22,22,22,22,32.67,0,2.7300000000000004,2.7300000000000004,2.72,2.2,2.2,2.7300000000000004,2.72,2.72,2.72,2.7300000000000004,2.72,2.72,2.7300000000000004,2.72,0,6094032,2.7300000000000004,2.72,100.0,100,-90.30000000000001,22,21,67,21,21,22,22,22,22,21,32.62,0,2.71,2.72,2.7300000000000004,2.2,2.2,2.71,2.72,2.72,2.71,2.72,2.7300000000000004,2.7300000000000004,2.72,2.71,0,5935489,2.7300000000000004,2.71,100.0,100,False,True,True
10-02-2021,04:36:10,-92.10000000000001,22,22,3,22,22,22,22,22,22,22,32.67,0,2.7300000000000004,2.7300000000000004,2.72,2.2,2.2,2.7300000000000004,2.72,2.72,2.72,2.7300000000000004,2.72,2.72,2.7300000000000004,2.72,0,6094307,2.7300000000000004,2.72,100.0,100,-90.30000000000001,22,21,3,21,21,22,22,22,22,21,32.62,0,2.71,2.72,2.7300000000000004,2.2,2.2,2.71,2.72,2.72,2.71,2.72,2.7300000000000004,2.7300000000000004,2.72,2.71,0,5935758,2.7300000000000004,2.71,100.0,100,False,True,True
10-02-2021,04:36:13,-92.10000000000001,22,22,67,22,22,22,22,22,22,22,32.67,0,2.7300000000000004,2.7300000000000004,2.72,2.2,2.2,2.7300000000000004,2.72,2.72,2.72,2.7300000000000004,2.72,2.72,2.7300000000000004,2.72,0,6094490,2.7300000000000004,2.72,100.0,100,-90.30000000000001,22,21,67,21,21,22,22,22,22,21,32.62,0,2.71,2.72,2.7300000000000004,2.2,2.2,2.71,2.72,2.72,2.71,2.72,2.7300000000000004,2.7300000000000004,2.72,2.71,0,5936027,2.7300000000000004,2.71,100.0,100,False,True,True
10-02-2021,04:36:16,-92.2,22,22,3,22,22,22,22,22,22,22,32.67,0,2.7300000000000004,2.7300000000000004,2.72,2.2,2.2,2.7300000000000004,2.72,2.72,2.72,2.7300000000000004,2.72,2.72,2.7300000000000004,2.72,0,6094765,2.7300000000000004,2.72,100.0,100,-90.30000000000001,22,21,3,21,21,22,22,22,22,21,32.62,0,2.71,2.72,2.7300000000000004,2.2,2.2,2.71,2.72,2.72,2.71,2.72,2.7300000000000004,2.7300000000000004,2.72,2.71,0,5936295,2.7300000000000004,2.71,100.0,100,False,True,True
10-02-2021,04:36:19,-92.2,22,22,67,22,22,22,22,22,22,22,32.67,0,2.7300000000000004,2.7300000000000004,2.72,2.2,2.2,2.7300000000000004,2.72,2.72,2.72,2.7300000000000004,2.72,2.72,2.7300000000000004,2.72,0,6095039,2.7300000000000004,2.72,100.0,100,-90.30000000000001,22,21,67,21,21,22,22,22,22,21,32.62,0,2.71,2.72,2.7300000000000004,2.2,2.2,2.71,2.72,2.72,2.71,2.72,2.7300000000000004,2.7300000000000004,2.72,2.71,0,5936474,2.7300000000000004,2.71,100.0,100,False,True,True
10-02-2021,04:36:21,-92.2,22,22,3,22,22,22,22,22,22,22,32.67,0,2.7300000000000004,2.7300000000000004,2.72,2.2,2.2,2.7300000000000004,2.72,2.72,2.72,2.7300000000000004,2.72,2.72,2.7300000000000004,2.72,0,6095313,2.7300000000000004,2.72,100.0,100,-90.30000000000001,22,21,3,21,21,22,22,22,22,21,32.62,0,2.71,2.72,2.7300000000000004,2.2,2.2,2.71,2.72,2.72,2.71,2.72,2.7300000000000004,2.7300000000000004,2.72,2.71,0,5936743,2.7300000000000004,2.71,100.0,100,False,True,True
10-02-2021,04:36:24,-92.2,22,22,67,22,22,22,22,22,22,22,32.67,0,2.7300000000000004,2.7300000000000004,2.72,2.2,2.2,2.7300000000000004,2.72,2.72,2.72,2.7300000000000004,2.72,2.72,2.7300000000000004,2.72,0,6095497,2.7300000000000004,2.72,100.0,100,-90.30000000000001,22,21,67,21,22,22,22,22,22,21,32.62,0,2.71,2.72,2.74,2.2,2.2,2.71,2.72,2.72,2.71,2.72,2.7300000000000004,2.7300000000000004,2.72,2.71,0,5937012,2.74,2.71,100.0,100,False,True,True
