date,time,BMU05_CMA_Current,BMU05_CMA_Max_Temp,BMU05_CMA_Min_Temp,BMU05_CMA_Status,BMU05_CMA_Temp1,BMU05_CMA_Temp2,BMU05_CMA_Temp3,BMU05_CMA_Temp4,BMU05_CMA_Temp5,BMU05_CMA_Temp6,BMU05_CMA_Temp7,BMU05_CMA_Voltage,BMU05_CellBalancingStatus,BMU05_Cell_10_Voltage,BMU05_Cell_11_Voltage,BMU05_Cell_12_Voltage,BMU05_Cell_13_Voltage,BMU05_Cell_14_Voltage,BMU05_Cell_1_Voltage,BMU05_Cell_2_Voltage,BMU05_Cell_3_Voltage,BMU05_Cell_4_Voltage,BMU05_Cell_5_Voltage,BMU05_Cell_6_Voltage,BMU05_Cell_7_Voltage,BMU05_Cell_8_Voltage,BMU05_Cell_9_Voltage,BMU05_Charge_Ah_from_BMU,BMU05_Discharge_Ah_from_BMU,BMU05_Max_Cell_Voltage,BMU05_Min_Cell_Voltage,BMU05_SOC,BMU05_SOH,BMU09_CMA_Current,BMU09_CMA_Max_Temp,BMU09_CMA_Min_Temp,BMU09_CMA_Status,BMU09_CMA_Temp1,BMU09_CMA_Temp2,BMU09_CMA_Temp3,BMU09_CMA_Temp4,BMU09_CMA_Temp5,BMU09_CMA_Temp6,BMU09_CMA_Temp7,BMU09_CMA_Voltage,BMU09_CellBalancingStatus,BMU09_Cell_10_Voltage,BMU09_Cell_11_Voltage,BMU09_Cell_12_Voltage,BMU09_Cell_13_Voltage,BMU09_Cell_14_Voltage,BMU09_Cell_1_Voltage,BMU09_Cell_2_Voltage,BMU09_Cell_3_Voltage,BMU09_Cell_4_Voltage,BMU09_Cell_5_Voltage,BMU09_Cell_6_Voltage,BMU09_Cell_7_Voltage,BMU09_Cell_8_Voltage,BMU09_Cell_9_Voltage,BMU09_Charge_Ah_from_BMU,BMU09_Discharge_Ah_from_BMU,BMU09_Max_Cell_Voltage,BMU09_Min_Cell_Voltage,BMU09_SOC,BMU09_SOH,istempHigh,isvolLimited,isCVViolated
10-02-2021,11:50:45,-92.30000000000001,23,22,3,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8494798,2.72,2.71,100.0,100,-90.30000000000001,23,22,3,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8281221,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:50:48,-92.2,23,22,67,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8495073,2.72,2.71,100.0,100,-90.30000000000001,23,22,67,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8281489,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:50:51,-92.30000000000001,23,22,3,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8495348,2.72,2.71,100.0,100,-90.30000000000001,23,22,3,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8281758,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:50:54,-92.30000000000001,23,22,67,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8495623,2.72,2.71,100.0,100,-90.30000000000001,23,22,67,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8282027,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:50:57,-92.30000000000001,23,22,3,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8495897,2.72,2.71,100.0,100,-90.30000000000001,23,22,3,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8282386,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:51:00,-92.30000000000001,23,22,67,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8496172,2.72,2.71,100.0,100,-90.30000000000001,23,22,67,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8282565,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:51:03,-92.30000000000001,23,22,3,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8496447,2.72,2.71,100.0,100,-90.30000000000001,23,22,3,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8282834,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:51:05,-92.2,23,22,67,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8496721,2.72,2.71,100.0,100,-90.30000000000001,23,22,67,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8283102,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:51:08,-92.2,23,22,3,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8496998,2.72,2.71,100.0,100,-90.30000000000001,23,22,3,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8283371,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:51:11,-92.30000000000001,23,22,67,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8497181,2.72,2.71,100.0,100,-90.2,23,22,67,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8283639,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:51:14,-92.30000000000001,23,22,3,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8497456,2.72,2.71,100.0,100,-90.30000000000001,23,22,3,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8283908,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:51:17,-92.30000000000001,23,22,67,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8497731,2.72,2.71,100.0,100,-90.30000000000001,23,22,67,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8284176,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:51:20,-92.2,23,22,3,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8498006,2.72,2.71,100.0,100,-90.30000000000001,23,22,3,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8284445,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:51:23,-92.2,23,22,67,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8498280,2.72,2.71,100.0,100,-90.30000000000001,23,22,67,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8284714,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:51:26,-92.2,23,22,3,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8498555,2.72,2.71,100.0,100,-90.2,23,22,3,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8284982,2.7300000000000004,2.7,100.0,100,False,True,True
10-02-2021,11:51:29,-92.2,23,22,67,22,22,23,23,23,22,22,32.59,0,2.72,2.72,2.72,2.2,2.2,2.72,2.72,2.71,2.72,2.72,2.72,2.71,2.72,2.71,0,8498830,2.72,2.71,100.0,100,-90.2,23,22,67,22,22,22,23,22,22,22,32.54,0,2.7,2.71,2.7300000000000004,2.2,2.2,2.7,2.71,2.71,2.71,2.72,2.72,2.72,2.71,2.7,0,8285251,2.7300000000000004,2.7,100.0,100,False,True,True
