date,time,BMU05_CMA_Current,BMU05_CMA_Max_Temp,BMU05_CMA_Min_Temp,BMU05_CMA_Status,BMU05_CMA_Temp1,BMU05_CMA_Temp2,BMU05_CMA_Temp3,BMU05_CMA_Temp4,BMU05_CMA_Temp5,BMU05_CMA_Temp6,BMU05_CMA_Temp7,BMU05_CMA_Voltage,BMU05_CellBalancingStatus,BMU05_Cell_10_Voltage,BMU05_Cell_11_Voltage,BMU05_Cell_12_Voltage,BMU05_Cell_13_Voltage,BMU05_Cell_14_Voltage,BMU05_Cell_1_Voltage,BMU05_Cell_2_Voltage,BMU05_Cell_3_Voltage,BMU05_Cell_4_Voltage,BMU05_Cell_5_Voltage,BMU05_Cell_6_Voltage,BMU05_Cell_7_Voltage,BMU05_Cell_8_Voltage,BMU05_Cell_9_Voltage,BMU05_Charge_Ah_from_BMU,BMU05_Discharge_Ah_from_BMU,BMU05_Max_Cell_Voltage,BMU05_Min_Cell_Voltage,BMU05_SOC,BMU05_SOH,BMU09_CMA_Current,BMU09_CMA_Max_Temp,BMU09_CMA_Min_Temp,BMU09_CMA_Status,BMU09_CMA_Temp1,BMU09_CMA_Temp2,BMU09_CMA_Temp3,BMU09_CMA_Temp4,BMU09_CMA_Temp5,BMU09_CMA_Temp6,BMU09_CMA_Temp7,BMU09_CMA_Voltage,BMU09_CellBalancingStatus,BMU09_Cell_10_Voltage,BMU09_Cell_11_Voltage,BMU09_Cell_12_Voltage,BMU09_Cell_13_Voltage,BMU09_Cell_14_Voltage,BMU09_Cell_1_Voltage,BMU09_Cell_2_Voltage,BMU09_Cell_3_Voltage,BMU09_Cell_4_Voltage,BMU09_Cell_5_Voltage,BMU09_Cell_6_Voltage,BMU09_Cell_7_Voltage,BMU09_Cell_8_Voltage,BMU09_Cell_9_Voltage,BMU09_Charge_Ah_from_BMU,BMU09_Discharge_Ah_from_BMU,BMU09_Max_Cell_Voltage,BMU09_Min_Cell_Voltage,BMU09_SOC,BMU09_SOH,istempHigh,isvolLimited,isCVViolated
10-02-2021,12:31:40,-92.9,23,22,67,22,22,23,23,23,22,22,38.46,0,3.2,3.21,3.2,2.2,2.2,3.21,3.2,3.2,3.2,3.21,3.2,3.21,3.2,3.21,0,8721358,3.21,3.2,100.0,100,-90.10000000000001,23,22,67,22,22,22,23,22,22,22,38.45,0,3.2,3.2,3.21,2.2,2.2,3.2,3.2,3.2,3.2,3.21,3.21,3.21,3.2,3.2,0,8501916,3.21,3.2,100.0,100,False,False,False
10-02-2021,12:31:42,-92.80000000000001,23,22,3,22,22,23,23,23,22,22,38.46,0,3.2,3.21,3.2,2.2,2.2,3.21,3.2,3.2,3.2,3.21,3.2,3.21,3.2,3.21,0,8721543,3.21,3.2,100.0,100,-90.2,23,22,3,22,22,22,23,22,22,22,38.45,0,3.2,3.2,3.21,2.2,2.2,3.2,3.2,3.2,3.2,3.21,3.21,3.21,3.2,3.2,0,8502185,3.21,3.2,100.0,100,False,False,False
10-02-2021,12:31:45,-92.80000000000001,23,22,67,22,22,23,23,23,22,22,38.46,0,3.2,3.21,3.2,2.2,2.2,3.21,3.2,3.2,3.2,3.21,3.2,3.2,3.2,3.21,0,8721819,3.21,3.2,100.0,100,-90.30000000000001,23,22,67,22,22,22,23,22,22,22,38.45,0,3.2,3.2,3.21,2.2,2.2,3.2,3.2,3.2,3.2,3.21,3.21,3.21,3.2,3.2,0,8502455,3.21,3.2,100.0,100,False,False,False
10-02-2021,12:31:48,-92.9,23,22,3,22,22,23,23,23,22,22,38.46,0,3.2,3.21,3.2,2.2,2.2,3.21,3.2,3.2,3.2,3.21,3.2,3.21,3.2,3.21,0,8722095,3.21,3.2,100.0,100,-90.2,23,22,3,22,22,22,23,22,22,22,38.45,0,3.2,3.2,3.21,2.2,2.2,3.2,3.2,3.2,3.2,3.21,3.21,3.21,3.2,3.2,0,8502634,3.21,3.2,100.0,100,False,False,False
10-02-2021,12:31:51,-92.80000000000001,23,22,67,22,22,23,23,23,22,22,38.46,0,3.2,3.21,3.2,2.2,2.2,3.21,3.2,3.2,3.2,3.21,3.2,3.2,3.2,3.21,0,8722373,3.21,3.2,100.0,100,-90.2,23,22,67,22,22,22,23,22,22,22,38.45,0,3.2,3.2,3.21,2.2,2.2,3.2,3.2,3.2,3.2,3.21,3.21,3.21,3.2,3.2,0,8502902,3.21,3.2,100.0,100,False,False,False
10-02-2021,12:31:53,-92.80000000000001,23,22,3,22,22,23,23,23,22,22,38.46,0,3.2,3.21,3.2,2.2,2.2,3.21,3.2,3.2,3.2,3.21,3.2,3.2,3.2,3.21,0,8722557,3.21,3.2,100.0,100,-90.2,23,22,3,22,22,22,23,22,22,22,38.45,0,3.2,3.2,3.21,2.2,2.2,3.2,3.2,3.2,3.2,3.21,3.21,3.21,3.2,3.2,0,8503171,3.21,3.2,100.0,100,False,False,False
10-02-2021,12:31:56,-92.80000000000001,23,22,67,22,22,23,23,23,22,22,38.46,0,3.2,3.21,3.2,2.2,2.2,3.21,3.2,3.2,3.2,3.21,3.2,3.21,3.2,3.21,0,8722833,3.21,3.2,100.0,100,-90.2,23,22,67,22,22,22,23,22,22,22,38.45,0,3.2,3.2,3.21,2.2,2.2,3.2,3.2,3.2,3.2,3.21,3.21,3.21,3.2,3.2,0,8503350,3.21,3.2,100.0,100,False,False,False
10-02-2021,12:31:59,-92.7,23,22,3,22,22,23,23,23,22,22,38.46,0,3.2,3.21,3.2,2.2,2.2,3.21,3.2,3.2,3.2,3.21,3.2,3.21,3.2,3.21,0,8723109,3.21,3.2,100.0,100,-90.2,23,22,3,22,22,22,23,22,22,22,38.45,0,3.2,3.2,3.21,2.2,2.2,3.2,3.2,3.2,3.2,3.21,3.21,3.21,3.2,3.2,0,8503619,3.21,3.2,100.0,100,False,False,False
10-02-2021,12:32:02,-92.9,23,22,67,22,22,23,23,23,22,22,38.46,0,3.2,3.21,3.2,2.2,2.2,3.21,3.2,3.2,3.2,3.21,3.2,3.21,3.2,3.21,0,8723388,3.21,3.2,100.0,100,-90.2,23,22,67,22,22,22,23,22,22,22,38.45,0,3.2,3.2,3.21,2.2,2.2,3.2,3.2,3.2,3.2,3.21,3.21,3.21,3.2,3.2,0,8503888,3.21,3.2,100.0,100,False,False,False
10-02-2021,12:32:04,-92.80000000000001,23,22,3,22,22,23,23,23,22,22,38.46,0,3.2,3.21,3.2,2.2,2.2,3.21,3.2,3.2,3.2,3.21,3.2,3.21,3.2,3.2,0,8723572,3.21,3.2,100.0,100,-90.2,23,22,3,22,22,22,23,22,22,22,38.45,0,3.2,3.2,3.21,2.2,2.2,3.2,3.2,3.2,3.2,3.21,3.21,3.21,3.2,3.2,0,8504156,3.21,3.2,100.0,100,False,False,False
