date,time,BMU01_CMA_Current,BMU01_CMA_Max_Temp,BMU01_CMA_Min_Temp,BMU01_CMA_Status,BMU01_CMA_Temp1,BMU01_CMA_Temp2,BMU01_CMA_Temp3,BMU01_CMA_Temp4,BMU01_CMA_Temp5,BMU01_CMA_Temp6,BMU01_CMA_Temp7,BMU01_CMA_Voltage,BMU01_CellBalancingStatus,BMU01_Cell_10_Voltage,BMU01_Cell_11_Voltage,BMU01_Cell_12_Voltage,BMU01_Cell_13_Voltage,BMU01_Cell_14_Voltage,BMU01_Cell_1_Voltage,BMU01_Cell_2_Voltage,BMU01_Cell_3_Voltage,BMU01_Cell_4_Voltage,BMU01_Cell_5_Voltage,BMU01_Cell_6_Voltage,BMU01_Cell_7_Voltage,BMU01_Cell_8_Voltage,BMU01_Cell_9_Voltage,BMU01_Charge_Ah_from_BMU,BMU01_Discharge_Ah_from_BMU,BMU01_Max_Cell_Voltage,BMU01_Min_Cell_Voltage,BMU01_SOC,BMU01_SOH,BMU02_CMA_Current,BMU02_CMA_Max_Temp,BMU02_CMA_Min_Temp,BMU02_CMA_Status,BMU02_CMA_Temp1,BMU02_CMA_Temp2,BMU02_CMA_Temp3,BMU02_CMA_Temp4,BMU02_CMA_Temp5,BMU02_CMA_Temp6,BMU02_CMA_Temp7,BMU02_CMA_Voltage,BMU02_CellBalancingStatus,BMU02_Cell_10_Voltage,BMU02_Cell_11_Voltage,BMU02_Cell_12_Voltage,BMU02_Cell_13_Voltage,BMU02_Cell_14_Voltage,BMU02_Cell_1_Voltage,BMU02_Cell_2_Voltage,BMU02_Cell_3_Voltage,BMU02_Cell_4_Voltage,BMU02_Cell_5_Voltage,BMU02_Cell_6_Voltage,BMU02_Cell_7_Voltage,BMU02_Cell_8_Voltage,BMU02_Cell_9_Voltage,BMU02_Charge_Ah_from_BMU,BMU02_Discharge_Ah_from_BMU,BMU02_Max_Cell_Voltage,BMU02_Min_Cell_Voltage,BMU02_SOC,BMU02_SOH,BMU03_CMA_Current,BMU03_CMA_Max_Temp,BMU03_CMA_Min_Temp,BMU03_CMA_Status,BMU03_CMA_Temp1,BMU03_CMA_Temp2,BMU03_CMA_Temp3,BMU03_CMA_Temp4,BMU03_CMA_Temp5,BMU03_CMA_Temp6,BMU03_CMA_Temp7,BMU03_CMA_Voltage,BMU03_CellBalancingStatus,BMU03_Cell_10_Voltage,BMU03_Cell_11_Voltage,BMU03_Cell_12_Voltage,BMU03_Cell_13_Voltage,BMU03_Cell_14_Voltage,BMU03_Cell_1_Voltage,BMU03_Cell_2_Voltage,BMU03_Cell_3_Voltage,BMU03_Cell_4_Voltage,BMU03_Cell_5_Voltage,BMU03_Cell_6_Voltage,BMU03_Cell_7_Voltage,BMU03_Cell_8_Voltage,BMU03_Cell_9_Voltage,BMU03_Charge_Ah_from_BMU,BMU03_Discharge_Ah_from_BMU,BMU03_Max_Cell_Voltage,BMU03_Min_Cell_Voltage,BMU03_SOC,BMU03_SOH,BMU04_CMA_Current,BMU04_CMA_Max_Temp,BMU04_CMA_Min_Temp,BMU04_CMA_Status,BMU04_CMA_Temp1,BMU04_CMA_Temp2,BMU04_CMA_Temp3,BMU04_CMA_Temp4,BMU04_CMA_Temp5,BMU04_CMA_Temp6,BMU04_CMA_Temp7,BMU04_CMA_Voltage,BMU04_CellBalancingStatus,BMU04_Cell_10_Voltage,BMU04_Cell_11_Voltage,BMU04_Cell_12_Voltage,BMU04_Cell_13_Voltage,BMU04_Cell_14_Voltage,BMU04_Cell_1_Voltage,BMU04_Cell_2_Voltage,BMU04_Cell_3_Voltage,BMU04_Cell_4_Voltage,BMU04_Cell_5_Voltage,BMU04_Cell_6_Voltage,BMU04_Cell_7_Voltage,BMU04_Cell_8_Voltage,BMU04_Cell_9_Voltage,BMU04_Charge_Ah_from_BMU,BMU04_Discharge_Ah_from_BMU,BMU04_Max_Cell_Voltage,BMU04_Min_Cell_Voltage,BMU04_SOC,BMU04_SOH,BMU05_CMA_Current,BMU05_CMA_Max_Temp,BMU05_CMA_Min_Temp,BMU05_CMA_Status,BMU05_CMA_Temp1,BMU05_CMA_Temp2,BMU05_CMA_Temp3,BMU05_CMA_Temp4,BMU05_CMA_Temp5,BMU05_CMA_Temp6,BMU05_CMA_Temp7,BMU05_CMA_Voltage,BMU05_CellBalancingStatus,BMU05_Cell_10_Voltage,BMU05_Cell_11_Voltage,BMU05_Cell_12_Voltage,BMU05_Cell_13_Voltage,BMU05_Cell_14_Voltage,BMU05_Cell_1_Voltage,BMU05_Cell_2_Voltage,BMU05_Cell_3_Voltage,BMU05_Cell_4_Voltage,BMU05_Cell_5_Voltage,BMU05_Cell_6_Voltage,BMU05_Cell_7_Voltage,BMU05_Cell_8_Voltage,BMU05_Cell_9_Voltage,BMU05_Charge_Ah_from_BMU,BMU05_Discharge_Ah_from_BMU,BMU05_Max_Cell_Voltage,BMU05_Min_Cell_Voltage,BMU05_SOC,BMU05_SOH,BMU06_CMA_Current,BMU06_CMA_Max_Temp,BMU06_CMA_Min_Temp,BMU06_CMA_Status,BMU06_CMA_Temp1,BMU06_CMA_Temp2,BMU06_CMA_Temp3,BMU06_CMA_Temp4,BMU06_CMA_Temp5,BMU06_CMA_Temp6,BMU06_CMA_Temp7,BMU06_CMA_Voltage,BMU06_CellBalancingStatus,BMU06_Cell_10_Voltage,BMU06_Cell_11_Voltage,BMU06_Cell_12_Voltage,BMU06_Cell_13_Voltage,BMU06_Cell_14_Voltage,BMU06_Cell_1_Voltage,BMU06_Cell_2_Voltage,BMU06_Cell_3_Voltage,BMU06_Cell_4_Voltage,BMU06_Cell_5_Voltage,BMU06_Cell_6_Voltage,BMU06_Cell_7_Voltage,BMU06_Cell_8_Voltage,BMU06_Cell_9_Voltage,BMU06_Charge_Ah_from_BMU,BMU06_Discharge_Ah_from_BMU,BMU06_Max_Cell_Voltage,BMU06_Min_Cell_Voltage,BMU06_SOC,BMU06_SOH,BMU07_CMA_Current,BMU07_CMA_Max_Temp,BMU07_CMA_Min_Temp,BMU07_CMA_Status,BMU07_CMA_Temp1,BMU07_CMA_Temp2,BMU07_CMA_Temp3,BMU07_CMA_Temp4,BMU07_CMA_Temp5,BMU07_CMA_Temp6,BMU07_CMA_Temp7,BMU07_CMA_Voltage,BMU07_CellBalancingStatus,BMU07_Cell_10_Voltage,BMU07_Cell_11_Voltage,BMU07_Cell_12_Voltage,BMU07_Cell_13_Voltage,BMU07_Cell_14_Voltage,BMU07_Cell_1_Voltage,BMU07_Cell_2_Voltage,BMU07_Cell_3_Voltage,BMU07_Cell_4_Voltage,BMU07_Cell_5_Voltage,BMU07_Cell_6_Voltage,BMU07_Cell_7_Voltage,BMU07_Cell_8_Voltage,BMU07_Cell_9_Voltage,BMU07_Charge_Ah_from_BMU,BMU07_Discharge_Ah_from_BMU,BMU07_Max_Cell_Voltage,BMU07_Min_Cell_Voltage,BMU07_SOC,BMU07_SOH,BMU08_CMA_Current,BMU08_CMA_Max_Temp,BMU08_CMA_Min_Temp,BMU08_CMA_Status,BMU08_CMA_Temp1,BMU08_CMA_Temp2,BMU08_CMA_Temp3,BMU08_CMA_Temp4,BMU08_CMA_Temp5,BMU08_CMA_Temp6,BMU08_CMA_Temp7,BMU08_CMA_Voltage,BMU08_CellBalancingStatus,BMU08_Cell_10_Voltage,BMU08_Cell_11_Voltage,BMU08_Cell_12_Voltage,BMU08_Cell_13_Voltage,BMU08_Cell_14_Voltage,BMU08_Cell_1_Voltage,BMU08_Cell_2_Voltage,BMU08_Cell_3_Voltage,BMU08_Cell_4_Voltage,BMU08_Cell_5_Voltage,BMU08_Cell_6_Voltage,BMU08_Cell_7_Voltage,BMU08_Cell_8_Voltage,BMU08_Cell_9_Voltage,BMU08_Charge_Ah_from_BMU,BMU08_Discharge_Ah_from_BMU,BMU08_Max_Cell_Voltage,BMU08_Min_Cell_Voltage,BMU08_SOC,BMU08_SOH,Ardu_Press,Ardu_Temp1,Ardu_Temp2,modbus_Power,modbus_Current,modbus_Voltage,isModbusHighVoltageDagnerous,isModbusHighVoltageWarning,isModbusLowVoltageDangerous,isModbusLowVoltageWarning,isPcanTempDangerous,isPcanTempWarning,isPcanVoltageHighDangerous,isPcanVoltageHighWarning,isPcanVoltageLowDangerous,isPcanVoltageLowWarning,warning,dangerous
06-04-2021,12:13:38,-84.10000000000001,20,19,67,19,19,20,20,20,19,19,46.050000000000004,0,3.8400000000000003,3.83,3.8400000000000003,2.2,2.2,3.8400000000000003,3.8400000000000003,3.83,3.8400000000000003,3.8400000000000003,3.8400000000000003,3.8400000000000003,3.8400000000000003,3.8400000000000003,0,437473,3.8400000000000003,3.83,34.5,100,-96.60000000000001,20,19,3,19,19,20,19,20,20,20,45.97,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.8400000000000003,3.83,3.8400000000000003,3.83,3.83,0,514529,3.8400000000000003,3.83,33.5,100,-82.0,20,19,3,20,19,20,20,19,19,19,46.07,0,3.8400000000000003,3.8400000000000003,3.8400000000000003,2.2,2.2,3.8400000000000003,3.8400000000000003,3.8400000000000003,3.8400000000000003,3.8400000000000003,3.8400000000000003,3.8400000000000003,3.8400000000000003,3.8400000000000003,0,421982,3.8400000000000003,3.8400000000000003,36.5,100,-96.0,20,20,3,20,20,20,20,20,20,20,45.86,0,3.8200000000000003,3.8200000000000003,3.8200000000000003,2.2,2.2,3.8200000000000003,3.8100000000000005,3.83,3.8200000000000003,3.83,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,0,530486,3.83,3.8100000000000005,33.5,100,-181.60000000000002,20,20,3,20,20,20,20,20,20,20,45.980000000000004,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.8400000000000003,3.83,3.83,3.83,3.83,0,949819,3.8400000000000003,3.83,24.5,100,-97.0,20,19,67,19,19,20,20,20,20,20,46.01,0,3.8400000000000003,3.83,3.8400000000000003,2.2,2.2,3.8400000000000003,3.8400000000000003,3.83,3.83,3.8400000000000003,3.83,3.83,3.83,3.8400000000000003,6062,420534,3.8400000000000003,3.83,35.5,100,-81.80000000000001,20,20,3,20,20,20,20,20,20,20,45.97,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,0,417333,3.83,3.83,34.0,100,-136.6,21,20,67,20,20,21,21,21,21,20,45.99,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.8400000000000003,3.83,3.83,3.83,498,707855,3.8400000000000003,3.83,28.0,100,72,35,34,-0.06866874198864677,-0.11517641187084884,538.4685811944944,True,False,False,False,False,False,False,False,False,False,False,True
06-04-2021,12:13:44,-84.10000000000001,20,19,3,19,19,20,20,20,19,19,46.02,0,3.83,3.83,3.8400000000000003,2.2,2.2,3.8400000000000003,3.8400000000000003,3.83,3.8400000000000003,3.8400000000000003,3.8400000000000003,3.8400000000000003,3.83,3.8400000000000003,0,438059,3.8400000000000003,3.83,34.5,100,-96.60000000000001,20,19,67,19,19,20,19,20,20,20,45.95,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,0,515201,3.83,3.83,34.0,100,-81.9,20,19,67,20,19,20,20,19,19,19,46.050000000000004,0,3.8400000000000003,3.8400000000000003,3.8400000000000003,2.2,2.2,3.8400000000000003,3.8400000000000003,3.83,3.8400000000000003,3.8400000000000003,3.83,3.8400000000000003,3.8400000000000003,3.8400000000000003,0,422550,3.8400000000000003,3.83,36.5,100,-96.0,20,20,67,20,20,20,20,20,20,20,45.84,0,3.8200000000000003,3.8200000000000003,3.8200000000000003,2.2,2.2,3.8200000000000003,3.8100000000000005,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,0,531156,3.8200000000000003,3.8100000000000005,33.5,100,-181.70000000000002,20,20,67,20,20,20,20,20,20,20,45.96,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,0,951087,3.83,3.83,24.5,100,-96.9,20,19,3,19,19,20,20,20,20,20,45.99,0,3.83,3.83,3.83,2.2,2.2,3.8400000000000003,3.83,3.83,3.83,3.8400000000000003,3.83,3.83,3.83,3.83,6062,421209,3.8400000000000003,3.83,35.5,100,-81.9,20,20,67,20,20,20,20,20,20,20,45.95,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,0,417819,3.83,3.83,34.5,100,-136.6,21,20,3,20,20,21,21,21,21,20,45.97,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,498,708673,3.83,3.83,28.0,100,70,36,35,-0.06866874198864677,-0.13437248051599032,497.4517044587542,True,False,False,False,False,False,False,False,False,False,False,True
06-04-2021,12:13:51,-84.2,20,19,67,19,19,20,20,20,19,19,46.01,0,3.83,3.83,3.8400000000000003,2.2,2.2,3.83,3.8400000000000003,3.83,3.8400000000000003,3.83,3.8400000000000003,3.8400000000000003,3.83,3.8400000000000003,0,438562,3.8400000000000003,3.83,35.0,100,-96.7,20,19,3,19,19,20,19,20,20,20,45.94,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,0,515777,3.83,3.83,34.0,100,-82.0,20,19,3,20,19,20,20,19,19,19,46.04,0,3.8400000000000003,3.8400000000000003,3.8400000000000003,2.2,2.2,3.8400000000000003,3.8400000000000003,3.83,3.8400000000000003,3.8400000000000003,3.83,3.8400000000000003,3.8400000000000003,3.8400000000000003,0,423037,3.8400000000000003,3.83,36.5,100,-95.9,20,20,3,20,20,20,20,20,20,20,45.83,0,3.8200000000000003,3.8200000000000003,3.8200000000000003,2.2,2.2,3.8200000000000003,3.8000000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,0,531729,3.8200000000000003,3.8000000000000003,34.0,100,-181.60000000000002,20,20,3,20,20,20,20,20,20,20,45.96,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,0,952173,3.83,3.83,25.0,100,-97.0,20,19,67,19,19,20,20,20,20,20,45.980000000000004,0,3.83,3.83,3.83,2.2,2.2,3.8400000000000003,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,6062,421788,3.8400000000000003,3.83,36.0,100,-81.80000000000001,20,20,3,20,20,20,20,20,20,20,45.95,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,0,418306,3.83,3.83,34.5,100,-136.5,21,20,67,20,20,21,21,21,21,20,45.96,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,498,709491,3.83,3.83,28.5,100,53,41,40,-0.054934993590917414,-0.11517641187084884,456.92312387462994,True,False,False,False,False,False,False,False,False,False,False,True
06-04-2021,12:13:57,-84.2,20,19,3,19,19,20,20,20,19,19,46.01,0,3.83,3.83,3.83,2.2,2.2,3.83,3.8400000000000003,3.83,3.8400000000000003,3.83,3.8400000000000003,3.83,3.83,3.8400000000000003,0,439149,3.8400000000000003,3.83,35.0,100,-96.60000000000001,20,19,67,19,19,20,19,20,20,20,45.93,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,0,516449,3.83,3.83,34.0,100,-81.9,20,19,67,20,19,20,20,19,19,19,46.03,0,3.8400000000000003,3.8400000000000003,3.8400000000000003,2.2,2.2,3.8400000000000003,3.8400000000000003,3.83,3.8400000000000003,3.8400000000000003,3.83,3.8400000000000003,3.8400000000000003,3.8400000000000003,0,423605,3.8400000000000003,3.83,37.0,100,-96.0,20,20,67,20,20,20,20,20,20,20,45.82,0,3.8200000000000003,3.8200000000000003,3.8200000000000003,2.2,2.2,3.8200000000000003,3.8000000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,0,532399,3.8200000000000003,3.8000000000000003,34.0,100,-181.60000000000002,20,20,67,20,20,20,20,20,20,20,45.95,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,0,953441,3.83,3.83,25.0,100,-97.0,20,19,3,19,19,20,20,20,20,20,45.980000000000004,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,6062,422464,3.83,3.83,36.0,100,-81.9,20,20,67,20,20,20,20,20,20,20,45.94,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.8200000000000003,3.83,3.83,3.83,3.8200000000000003,3.83,0,418874,3.83,3.8200000000000003,34.5,100,-136.5,21,20,3,20,20,21,21,21,21,20,45.95,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,498,710445,3.83,3.83,28.5,100,38,51,52,-0.059512909723493865,-0.11517641187084884,430.9518723105563,True,False,False,False,False,False,False,False,False,False,False,True
06-04-2021,12:14:03,-84.10000000000001,20,19,67,19,19,20,20,20,19,19,46.0,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.8400000000000003,3.83,3.8400000000000003,3.83,3.83,3.83,0,439652,3.8400000000000003,3.83,35.0,100,-96.60000000000001,20,19,3,19,19,20,19,20,20,20,45.93,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.8200000000000003,3.83,3.83,3.83,3.83,3.83,0,517025,3.83,3.8200000000000003,34.5,100,-82.0,20,19,3,20,19,20,20,19,19,19,46.03,0,3.8400000000000003,3.8400000000000003,3.8400000000000003,2.2,2.2,3.8400000000000003,3.8400000000000003,3.83,3.8400000000000003,3.8400000000000003,3.83,3.83,3.8400000000000003,3.8400000000000003,0,424092,3.8400000000000003,3.83,37.0,100,-96.10000000000001,20,20,3,20,20,20,20,20,20,20,45.82,0,3.8200000000000003,3.8200000000000003,3.8200000000000003,2.2,2.2,3.8200000000000003,3.8000000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,0,532973,3.8200000000000003,3.8000000000000003,34.5,100,-181.60000000000002,20,20,3,20,20,20,20,20,20,20,45.94,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,0,954527,3.83,3.83,25.5,100,-97.0,20,19,67,19,19,20,20,20,20,20,45.97,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,6062,423043,3.83,3.83,36.0,100,-81.9,20,20,3,20,20,20,20,20,20,20,45.93,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.8200000000000003,3.83,3.83,3.83,3.8200000000000003,3.83,0,419361,3.83,3.8200000000000003,34.5,100,-136.6,21,20,67,20,20,21,21,21,21,20,45.95,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,498,711263,3.83,3.83,29.0,100,30,45,47,-0.05035707745834096,-0.11517641187084884,397.04580828272344,True,False,False,False,False,False,False,False,False,False,False,True
06-04-2021,12:14:10,-84.10000000000001,20,19,3,19,19,20,20,20,19,19,46.0,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.8400000000000003,3.83,3.8400000000000003,3.83,3.83,3.83,0,440239,3.8400000000000003,3.83,35.5,100,-96.60000000000001,20,19,67,19,19,20,19,20,20,20,45.93,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.8200000000000003,3.83,3.83,3.83,3.83,3.83,0,517601,3.83,3.8200000000000003,34.5,100,-82.0,20,19,67,20,19,20,20,19,19,19,46.03,0,3.8400000000000003,3.8400000000000003,3.8400000000000003,2.2,2.2,3.8400000000000003,3.8400000000000003,3.83,3.8400000000000003,3.8400000000000003,3.83,3.83,3.8400000000000003,3.8400000000000003,0,424579,3.8400000000000003,3.83,37.0,100,-96.0,20,20,67,20,20,20,20,20,20,20,45.81,0,3.8200000000000003,3.8200000000000003,3.8200000000000003,2.2,2.2,3.8200000000000003,3.8000000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,0,533547,3.8200000000000003,3.8000000000000003,34.5,100,-181.60000000000002,20,20,67,20,20,20,20,20,20,20,45.94,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,0,955613,3.83,3.83,25.5,100,-97.0,20,19,3,19,19,20,20,20,20,20,45.97,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,6062,423623,3.83,3.83,36.5,100,-81.80000000000001,20,20,67,20,20,20,20,20,20,20,45.93,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.8200000000000003,3.83,3.83,3.83,3.8200000000000003,3.83,0,419928,3.83,3.8200000000000003,35.0,100,-136.6,21,20,3,20,20,21,21,21,21,20,45.95,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,498,712218,3.83,3.83,29.0,100,22,58,44,-0.05035707745834096,-0.11517641187084884,379.985961485641,True,False,False,False,False,False,False,False,False,False,False,True
06-04-2021,12:14:16,-84.2,20,19,67,19,19,20,20,20,19,19,46.0,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.8400000000000003,3.83,3.8400000000000003,3.83,3.83,3.83,0,440742,3.8400000000000003,3.83,35.5,100,-96.60000000000001,20,19,3,19,19,20,19,20,20,20,45.92,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.8200000000000003,3.83,3.8200000000000003,3.83,3.83,3.83,0,518179,3.83,3.8200000000000003,34.5,100,-82.0,20,19,3,20,19,20,20,19,19,19,46.02,0,3.8400000000000003,3.8400000000000003,3.83,2.2,2.2,3.8400000000000003,3.8400000000000003,3.83,3.8400000000000003,3.8400000000000003,3.83,3.83,3.8400000000000003,3.8400000000000003,0,425067,3.8400000000000003,3.83,37.0,100,-96.0,20,20,3,20,20,20,20,20,20,20,45.81,0,3.8200000000000003,3.8200000000000003,3.8200000000000003,2.2,2.2,3.8200000000000003,3.8000000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,3.8200000000000003,0,534121,3.8200000000000003,3.8000000000000003,34.5,100,-181.60000000000002,20,20,3,20,20,20,20,20,20,20,45.94,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,0,956702,3.83,3.83,26.0,100,-97.0,20,19,67,19,19,20,20,20,20,20,45.96,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,6062,424202,3.83,3.83,36.5,100,-81.80000000000001,20,20,3,20,20,20,20,20,20,20,45.93,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.8200000000000003,3.83,3.83,3.83,3.8200000000000003,3.83,0,420415,3.83,3.8200000000000003,35.0,100,-136.5,21,20,67,20,20,21,21,21,21,20,45.94,0,3.83,3.83,3.83,2.2,2.2,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,498,713036,3.83,3.83,29.0,100,22,56,43,-0.04120124519318806,-0.729450608515376,351.08493301187167,False,False,False,False,False,False,False,False,False,False,False,False
