date,time,BMU01_CMA_Current,BMU01_CMA_Max_Temp,BMU01_CMA_Min_Temp,BMU01_CMA_Status,BMU01_CMA_Temp1,BMU01_CMA_Temp2,BMU01_CMA_Temp3,BMU01_CMA_Temp4,BMU01_CMA_Temp5,BMU01_CMA_Temp6,BMU01_CMA_Temp7,BMU01_CMA_Voltage,BMU01_CellBalancingStatus,BMU01_Cell_10_Voltage,BMU01_Cell_11_Voltage,BMU01_Cell_12_Voltage,BMU01_Cell_13_Voltage,BMU01_Cell_14_Voltage,BMU01_Cell_1_Voltage,BMU01_Cell_2_Voltage,BMU01_Cell_3_Voltage,BMU01_Cell_4_Voltage,BMU01_Cell_5_Voltage,BMU01_Cell_6_Voltage,BMU01_Cell_7_Voltage,BMU01_Cell_8_Voltage,BMU01_Cell_9_Voltage,BMU01_Charge_Ah_from_BMU,BMU01_Discharge_Ah_from_BMU,BMU01_Max_Cell_Voltage,BMU01_Min_Cell_Voltage,BMU01_SOC,BMU01_SOH,BMU02_CMA_Current,BMU02_CMA_Max_Temp,BMU02_CMA_Min_Temp,BMU02_CMA_Status,BMU02_CMA_Temp1,BMU02_CMA_Temp2,BMU02_CMA_Temp3,BMU02_CMA_Temp4,BMU02_CMA_Temp5,BMU02_CMA_Temp6,BMU02_CMA_Temp7,BMU02_CMA_Voltage,BMU02_CellBalancingStatus,BMU02_Cell_10_Voltage,BMU02_Cell_11_Voltage,BMU02_Cell_12_Voltage,BMU02_Cell_13_Voltage,BMU02_Cell_14_Voltage,BMU02_Cell_1_Voltage,BMU02_Cell_2_Voltage,BMU02_Cell_3_Voltage,BMU02_Cell_4_Voltage,BMU02_Cell_5_Voltage,BMU02_Cell_6_Voltage,BMU02_Cell_7_Voltage,BMU02_Cell_8_Voltage,BMU02_Cell_9_Voltage,BMU02_Charge_Ah_from_BMU,BMU02_Discharge_Ah_from_BMU,BMU02_Max_Cell_Voltage,BMU02_Min_Cell_Voltage,BMU02_SOC,BMU02_SOH,BMU03_CMA_Current,BMU03_CMA_Max_Temp,BMU03_CMA_Min_Temp,BMU03_CMA_Status,BMU03_CMA_Temp1,BMU03_CMA_Temp2,BMU03_CMA_Temp3,BMU03_CMA_Temp4,BMU03_CMA_Temp5,BMU03_CMA_Temp6,BMU03_CMA_Temp7,BMU03_CMA_Voltage,BMU03_CellBalancingStatus,BMU03_Cell_10_Voltage,BMU03_Cell_11_Voltage,BMU03_Cell_12_Voltage,BMU03_Cell_13_Voltage,BMU03_Cell_14_Voltage,BMU03_Cell_1_Voltage,BMU03_Cell_2_Voltage,BMU03_Cell_3_Voltage,BMU03_Cell_4_Voltage,BMU03_Cell_5_Voltage,BMU03_Cell_6_Voltage,BMU03_Cell_7_Voltage,BMU03_Cell_8_Voltage,BMU03_Cell_9_Voltage,BMU03_Charge_Ah_from_BMU,BMU03_Discharge_Ah_from_BMU,BMU03_Max_Cell_Voltage,BMU03_Min_Cell_Voltage,BMU03_SOC,BMU03_SOH,BMU04_CMA_Current,BMU04_CMA_Max_Temp,BMU04_CMA_Min_Temp,BMU04_CMA_Status,BMU04_CMA_Temp1,BMU04_CMA_Temp2,BMU04_CMA_Temp3,BMU04_CMA_Temp4,BMU04_CMA_Temp5,BMU04_CMA_Temp6,BMU04_CMA_Temp7,BMU04_CMA_Voltage,BMU04_CellBalancingStatus,BMU04_Cell_10_Voltage,BMU04_Cell_11_Voltage,BMU04_Cell_12_Voltage,BMU04_Cell_13_Voltage,BMU04_Cell_14_Voltage,BMU04_Cell_1_Voltage,BMU04_Cell_2_Voltage,BMU04_Cell_3_Voltage,BMU04_Cell_4_Voltage,BMU04_Cell_5_Voltage,BMU04_Cell_6_Voltage,BMU04_Cell_7_Voltage,BMU04_Cell_8_Voltage,BMU04_Cell_9_Voltage,BMU04_Charge_Ah_from_BMU,BMU04_Discharge_Ah_from_BMU,BMU04_Max_Cell_Voltage,BMU04_Min_Cell_Voltage,BMU04_SOC,BMU04_SOH,BMU05_CMA_Current,BMU05_CMA_Max_Temp,BMU05_CMA_Min_Temp,BMU05_CMA_Status,BMU05_CMA_Temp1,BMU05_CMA_Temp2,BMU05_CMA_Temp3,BMU05_CMA_Temp4,BMU05_CMA_Temp5,BMU05_CMA_Temp6,BMU05_CMA_Temp7,BMU05_CMA_Voltage,BMU05_CellBalancingStatus,BMU05_Cell_10_Voltage,BMU05_Cell_11_Voltage,BMU05_Cell_12_Voltage,BMU05_Cell_13_Voltage,BMU05_Cell_14_Voltage,BMU05_Cell_1_Voltage,BMU05_Cell_2_Voltage,BMU05_Cell_3_Voltage,BMU05_Cell_4_Voltage,BMU05_Cell_5_Voltage,BMU05_Cell_6_Voltage,BMU05_Cell_7_Voltage,BMU05_Cell_8_Voltage,BMU05_Cell_9_Voltage,BMU05_Charge_Ah_from_BMU,BMU05_Discharge_Ah_from_BMU,BMU05_Max_Cell_Voltage,BMU05_Min_Cell_Voltage,BMU05_SOC,BMU05_SOH,BMU06_CMA_Current,BMU06_CMA_Max_Temp,BMU06_CMA_Min_Temp,BMU06_CMA_Status,BMU06_CMA_Temp1,BMU06_CMA_Temp2,BMU06_CMA_Temp3,BMU06_CMA_Temp4,BMU06_CMA_Temp5,BMU06_CMA_Temp6,BMU06_CMA_Temp7,BMU06_CMA_Voltage,BMU06_CellBalancingStatus,BMU06_Cell_10_Voltage,BMU06_Cell_11_Voltage,BMU06_Cell_12_Voltage,BMU06_Cell_13_Voltage,BMU06_Cell_14_Voltage,BMU06_Cell_1_Voltage,BMU06_Cell_2_Voltage,BMU06_Cell_3_Voltage,BMU06_Cell_4_Voltage,BMU06_Cell_5_Voltage,BMU06_Cell_6_Voltage,BMU06_Cell_7_Voltage,BMU06_Cell_8_Voltage,BMU06_Cell_9_Voltage,BMU06_Charge_Ah_from_BMU,BMU06_Discharge_Ah_from_BMU,BMU06_Max_Cell_Voltage,BMU06_Min_Cell_Voltage,BMU06_SOC,BMU06_SOH,BMU07_CMA_Current,BMU07_CMA_Max_Temp,BMU07_CMA_Min_Temp,BMU07_CMA_Status,BMU07_CMA_Temp1,BMU07_CMA_Temp2,BMU07_CMA_Temp3,BMU07_CMA_Temp4,BMU07_CMA_Temp5,BMU07_CMA_Temp6,BMU07_CMA_Temp7,BMU07_CMA_Voltage,BMU07_CellBalancingStatus,BMU07_Cell_10_Voltage,BMU07_Cell_11_Voltage,BMU07_Cell_12_Voltage,BMU07_Cell_13_Voltage,BMU07_Cell_14_Voltage,BMU07_Cell_1_Voltage,BMU07_Cell_2_Voltage,BMU07_Cell_3_Voltage,BMU07_Cell_4_Voltage,BMU07_Cell_5_Voltage,BMU07_Cell_6_Voltage,BMU07_Cell_7_Voltage,BMU07_Cell_8_Voltage,BMU07_Cell_9_Voltage,BMU07_Charge_Ah_from_BMU,BMU07_Discharge_Ah_from_BMU,BMU07_Max_Cell_Voltage,BMU07_Min_Cell_Voltage,BMU07_SOC,BMU07_SOH,BMU08_CMA_Current,BMU08_CMA_Max_Temp,BMU08_CMA_Min_Temp,BMU08_CMA_Status,BMU08_CMA_Temp1,BMU08_CMA_Temp2,BMU08_CMA_Temp3,BMU08_CMA_Temp4,BMU08_CMA_Temp5,BMU08_CMA_Temp6,BMU08_CMA_Temp7,BMU08_CMA_Voltage,BMU08_CellBalancingStatus,BMU08_Cell_10_Voltage,BMU08_Cell_11_Voltage,BMU08_Cell_12_Voltage,BMU08_Cell_13_Voltage,BMU08_Cell_14_Voltage,BMU08_Cell_1_Voltage,BMU08_Cell_2_Voltage,BMU08_Cell_3_Voltage,BMU08_Cell_4_Voltage,BMU08_Cell_5_Voltage,BMU08_Cell_6_Voltage,BMU08_Cell_7_Voltage,BMU08_Cell_8_Voltage,BMU08_Cell_9_Voltage,BMU08_Charge_Ah_from_BMU,BMU08_Discharge_Ah_from_BMU,BMU08_Max_Cell_Voltage,BMU08_Min_Cell_Voltage,BMU08_SOC,BMU08_SOH,Ardu_Press,Ardu_Temp1,Ardu_Temp2,modbus_Power,modbus_Current,modbus_Voltage,isModbusHighVoltageDagnerous,isModbusHighVoltageWarning,isModbusLowVoltageDangerous,isModbusLowVoltageWarning,isPcanTempDangerous,isPcanTempWarning,isPcanVoltageHighDangerous,isPcanVoltageHighWarning,isPcanVoltageLowDangerous,isPcanVoltageLowWarning
06-04-2021,10:42:27,-34.1,17,17,67,17,17,17,17,17,17,17,47.27,0,3.9400000000000004,3.9400000000000004,3.9400000000000004,2.2,2.2,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,0,3138,3.9400000000000004,3.9400000000000004,26.5,100,-39.7,18,16,3,17,17,17,16,17,17,18,47.230000000000004,0,3.93,3.9400000000000004,3.93,2.2,2.2,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.93,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.93,3.9400000000000004,0,2651,3.9400000000000004,3.93,27.5,100,-23.3,18,16,3,18,17,17,16,16,16,17,47.300000000000004,0,3.9400000000000004,3.9400000000000004,3.9400000000000004,2.2,2.2,3.9400000000000004,3.95,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,0,1302,3.95,3.9400000000000004,28.0,100,-91.10000000000001,18,17,3,18,17,17,17,17,17,18,47.12,0,3.93,3.93,3.93,2.2,2.2,3.93,3.91,3.93,3.93,3.93,3.93,3.93,3.93,3.93,0,7834,3.93,3.91,29.0,100,-58.7,18,17,3,18,17,17,17,17,17,17,47.09,0,3.92,3.93,3.92,2.2,2.2,3.93,3.92,3.92,3.92,3.93,3.92,3.92,3.92,3.93,0,3983,3.93,3.92,28.0,100,29.700000000000003,18,16,67,17,17,16,17,17,17,18,47.18,0,3.93,3.93,3.93,2.2,2.2,3.9400000000000004,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3385,0,3.9400000000000004,3.93,26.5,100,-17.8,17,17,3,17,17,17,17,17,17,17,47.09,0,3.92,3.93,3.93,2.2,2.2,3.93,3.92,3.92,3.92,3.93,3.92,3.93,3.92,3.93,0,1794,3.93,3.92,25.5,100,-32.0,19,17,67,18,17,17,17,17,18,19,47.11,0,3.93,3.93,3.93,2.2,2.2,3.93,3.92,3.93,3.93,3.93,3.93,3.93,3.92,3.93,498,2469,3.93,3.92,26.0,100,56,41,41,-0.004577916132576451,-0.6718624025799516,2.410962248603778,False,False,True,False,False,False,False,False,False,False
06-04-2021,10:42:33,-35.1,17,17,3,17,17,17,17,17,17,17,47.27,0,3.9400000000000004,3.9400000000000004,3.9400000000000004,2.2,2.2,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,0,3345,3.9400000000000004,3.9400000000000004,27.0,100,-40.7,18,16,67,17,17,17,16,17,17,18,47.230000000000004,0,3.93,3.9400000000000004,3.93,2.2,2.2,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.93,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.93,3.9400000000000004,0,2890,3.9400000000000004,3.93,28.5,100,-24.3,18,16,67,18,17,17,16,16,17,17,47.300000000000004,0,3.9400000000000004,3.9400000000000004,3.9400000000000004,2.2,2.2,3.9400000000000004,3.95,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,0,1443,3.95,3.9400000000000004,29.0,100,-91.2,18,17,67,18,17,17,17,17,17,18,47.12,0,3.93,3.93,3.93,2.2,2.2,3.93,3.91,3.93,3.93,3.93,3.93,3.93,3.93,3.93,0,8378,3.93,3.91,29.5,100,-60.300000000000004,18,17,67,18,17,17,17,17,17,17,47.09,0,3.92,3.93,3.92,2.2,2.2,3.93,3.92,3.92,3.92,3.93,3.92,3.92,3.92,3.93,0,4339,3.93,3.92,29.0,100,28.5,18,16,3,17,17,16,17,17,17,18,47.18,0,3.93,3.93,3.93,2.2,2.2,3.9400000000000004,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3559,0,3.9400000000000004,3.93,27.5,100,-18.8,17,17,67,17,17,17,17,17,17,17,47.09,0,3.92,3.93,3.93,2.2,2.2,3.93,3.92,3.92,3.92,3.93,3.92,3.93,3.92,3.93,0,1903,3.93,3.92,26.5,100,-33.7,19,17,3,18,17,17,17,17,18,19,47.11,0,3.93,3.93,3.93,2.2,2.2,3.93,3.92,3.93,3.92,3.93,3.93,3.93,3.92,3.93,498,2666,3.93,3.92,26.5,100,41,53,37,-0.004577916132576451,-0.6526663339348101,2.1973326822717976,False,False,True,False,False,False,False,False,False,False
06-04-2021,10:42:39,-36.2,17,17,67,17,17,17,17,17,17,17,47.27,0,3.9400000000000004,3.9400000000000004,3.9400000000000004,2.2,2.2,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,0,3557,3.9400000000000004,3.9400000000000004,28.5,100,-41.800000000000004,18,16,3,17,17,17,16,17,17,18,47.230000000000004,0,3.93,3.9400000000000004,3.93,2.2,2.2,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.93,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.93,3.9400000000000004,0,3135,3.9400000000000004,3.93,29.0,100,-25.3,18,16,3,18,17,17,16,16,17,17,47.300000000000004,0,3.9400000000000004,3.9400000000000004,3.9400000000000004,2.2,2.2,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,3.9400000000000004,0,1589,3.9400000000000004,3.9400000000000004,29.5,100,-91.4,18,17,3,18,17,17,17,17,17,18,47.12,0,3.93,3.93,3.93,2.2,2.2,3.93,3.91,3.93,3.93,3.93,3.93,3.93,3.93,3.93,0,8924,3.93,3.91,30.0,100,-62.0,18,17,3,18,17,17,17,17,17,17,47.09,0,3.92,3.93,3.92,2.2,2.2,3.93,3.92,3.92,3.92,3.93,3.92,3.92,3.92,3.93,0,4704,3.93,3.92,29.5,100,27.3,18,16,67,17,17,16,17,17,17,18,47.18,0,3.93,3.93,3.93,2.2,2.2,3.9400000000000004,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3726,0,3.9400000000000004,3.93,28.5,100,-19.700000000000003,17,17,3,17,17,17,17,17,17,17,47.09,0,3.92,3.93,3.93,2.2,2.2,3.93,3.92,3.92,3.92,3.93,3.92,3.93,3.92,3.93,0,2017,3.93,3.92,27.5,100,-35.4,19,17,67,18,17,17,17,17,18,19,47.11,0,3.93,3.93,3.93,2.2,2.2,3.93,3.92,3.93,3.93,3.93,3.93,3.93,3.92,3.93,498,2873,3.93,3.92,27.5,100,32,47,48,-0.004577916132576451,-0.6526663339348101,1.9837031159398173,False,False,True,False,False,False,False,False,False,False
